266375,0,-1
267431,1,9
268789,2,9
268903,0,-1
268969,1,1
270165,2,1
270279,0,-1
270279,1,11
270848,2,11
270964,0,-1
271078,1,10
271944,2,10
272059,0,-1
272059,1,13
273154,2,13
273268,0,-1
273843,1,12
274728,2,12
274842,0,-1
274842,1,6
275740,2,6
275852,0,-1
275950,1,4
277231,2,4
277347,0,-1
277347,1,2
278407,2,2
278522,0,-1
278733,1,10
280179,2,10
280295,0,-1
280295,1,3
281654,2,3
281768,0,-1
281768,1,1
282297,2,1
282412,0,-1
282511,1,7
283098,2,7
283213,0,-1
283851,1,10
284766,2,10
284881,0,-1
285210,1,13
286405,2,13
286518,0,-1
286518,1,0
287520,2,0
287633,0,-1
287633,1,13
288572,2,13
288685,0,-1
289195,1,8
289948,2,8
290062,0,-1
290573,1,14
291558,2,14
291673,0,-1
292807,1,0
293412,2,0
293526,0,-1
293526,1,10
294582,2,10
294698,0,-1
294698,1,6
295862,2,6
295978,0,-1
296258,1,7
296946,2,7
297061,0,-1
297276,1,0
298424,2,0
298538,0,-1
299242,1,12
300713,2,12
300829,0,-1
301127,1,13
301992,2,13
302105,0,-1
302154,1,12
303005,2,12
303119,0,-1
303119,1,13
303677,2,13
303791,0,-1
304100,1,1
304757,2,1
304870,0,-1
305280,1,10
306080,2,10
306194,0,-1
306522,1,9
307225,2,9
307340,0,-1
307422,1,15
308630,2,15
308745,0,-1
308745,1,5
309808,2,5
309921,0,-1
310130,1,1
311058,2,1
311172,0,-1
311172,1,4
312492,2,4
312606,0,-1
312766,1,13
313354,2,13
313468,0,-1
313598,1,11
314757,2,11
314872,0,-1
314872,1,4
315392,2,4
315504,0,-1
315586,1,5
316793,2,5
316908,0,-1
317314,1,7
318243,2,7
318359,0,-1
318520,1,0
320030,2,0
320144,0,-1
320193,1,2
321388,2,2
321501,0,-1
321565,1,1
322185,2,1
322297,0,-1
322297,1,14
323540,2,14
323654,0,-1
323654,1,7
324578,2,7
324693,0,-1
324807,1,3
325985,2,3
326098,0,-1
326098,1,4
326800,2,4
326912,0,-1
327126,1,6
328301,2,6
328416,0,-1
328529,1,15
329440,2,15
329554,0,-1
329554,1,2
330288,2,2
