266406,0,-1
266406,1,5
267448,2,5
267562,0,-1
267562,1,15
269067,2,15
269183,0,-1
269183,1,7
270000,2,7
270116,0,-1
270181,1,1
270832,2,1
270948,0,-1
271013,1,12
272386,2,12
272501,0,-1
272894,1,11
274120,2,11
274234,0,-1
274317,1,2
274955,2,2
275069,0,-1
275692,1,5
276704,2,5
276819,0,-1
277232,1,4
278115,2,4
278229,0,-1
278278,1,11
279014,2,11
279129,0,-1
279129,1,7
279669,2,7
279784,0,-1
280460,1,2
281510,2,2
281623,0,-1
281655,1,3
282903,2,3
283017,0,-1
283017,1,9
283883,2,9
283998,0,-1
284783,1,11
285767,2,11
285882,0,-1
286453,1,12
287210,2,12
287325,0,-1
287325,1,11
288638,2,11
288751,0,-1
288867,1,6
289409,2,6
289524,0,-1
289800,1,11
290965,2,11
291080,0,-1
291509,1,0
292791,2,0
292904,0,-1
293412,1,0
294433,2,0
294549,0,-1
294599,1,9
295289,2,9
295401,0,-1
295534,1,4
296142,2,4
296258,0,-1
296947,1,14
298210,2,14
298325,0,-1
298325,1,11
299779,2,11
299894,0,-1
300323,1,13
301110,2,13
301223,0,-1
301976,1,8
303430,2,8
303545,0,-1
303545,1,1
304101,2,1
304216,0,-1
304265,1,4
305622,2,4
305736,0,-1
305802,1,7
306930,2,7
307046,0,-1
307078,1,1
307945,2,1
308060,0,-1
308453,1,6
309775,2,6
309889,0,-1
309889,1,5
310571,2,5
310684,0,-1
311496,1,12
312082,2,12
312196,0,-1
312329,1,8
313713,2,8
313828,0,-1
314043,1,3
314676,2,3
314790,0,-1
315131,1,7
316043,2,7
316157,0,-1
316712,1,6
317364,2,6
317478,0,-1
317808,1,12
318812,2,12
318926,0,-1
320031,1,7
320912,2,7
321027,0,-1
321027,1,1
321566,2,1
321679,0,-1
322314,1,12
322886,2,12
322998,0,-1
323540,1,14
324496,2,14
324611,0,-1
324611,1,7
325707,2,7
325821,0,-1
326002,1,14
326653,2,14
326769,0,-1
326769,1,12
327975,2,12
328089,0,-1
328122,1,1
328693,2,1
328807,0,-1
328807,1,4
329945,2,4
330060,0,-1
330060,1,0
331301,2,0
331416,0,-1
331416,1,6
332394,2,6
