4851828,0,6
4851829,1,6
4852994,2,6
4853102,0,1
4853102,1,1
4854004,2,1
4854112,0,6
4854112,1,6
4855036,2,6
4855146,0,9
4855146,1,9
4855891,2,9
4856001,0,8
4856001,1,8
4857329,2,8
4857437,0,9
4857437,1,9
4858922,2,9
4859030,0,13
4859030,1,13
4859933,2,13
4860042,0,10
4860042,1,10
4861088,2,10
4861196,0,11
4861196,1,11
4862289,2,11
4862398,0,15
4862398,1,15
4863618,2,15
4863727,0,5
4863727,1,5
4864789,2,5
4864898,0,6
4864960,1,6
4866026,2,6
4866135,0,10
4866135,1,10
4866664,2,10
4866773,0,13
4866773,1,13
4868113,2,13
4868222,0,13
4868816,1,13
4870065,2,13
