4851968,0,12
4851968,1,12
4852862,2,12
4852971,0,12
4853669,1,12
4854903,2,12
4855012,0,4
4855012,1,4
4855884,2,4
4855993,0,14
4858383,1,14
4858992,2,14
4859100,0,0
4859582,1,0
4860362,2,0
4860471,0,14
4862143,1,14
4862922,2,14
4863032,0,11
4863363,1,11
4864046,2,11
4864156,0,9
4866891,1,9
4868386,2,9
4868495,0,9
4871198,1,9
4872185,2,9
4872294,0,10
4872294,1,10
4873245,2,10
4873353,0,12
4876525,1,12
4877260,2,12
4877369,0,9
4877369,1,9
4878262,2,9
4878371,0,11
4878371,1,11
4879639,2,11
4879747,0,4
4879747,1,4
4880779,2,4
4880888,0,15
4880888,1,15
4882295,2,15
